CCT	x (black body)	y (black body)	u' (black body)	v' (black body)	y (daylight)	y (TM30)
2520	0.475210446423188	0.413428827337877	0.271133410046272	0.530738180053359		0.413428827337877
2530	0.474324856106916	0.413299979486579	0.270619447173792	0.530555743985447		0.413299979486579
2540	0.473443147918802	0.413167472190078	0.270109723023667	0.530372531367333		0.413167472190078
2550	0.472565315357245	0.413031368275923	0.269604192810269	0.530188560858794		0.413031368275923
2560	0.471691351683258	0.412891729882807	0.269102812320201	0.530003850870072		0.412891729882807
2570	0.470821249924792	0.412748618462133	0.268605537903812	0.529818419564259		0.412748618462133
2580	0.469955002881062	0.412602094779799	0.268112326466844	0.529632284859685		0.412602094779799
2590	0.469092603126886	0.412452218918178	0.267623135462219	0.529445464432305		0.412452218918178
2600	0.468234043017033	0.412299050278290	0.267137922881970	0.529257975718087		0.412299050278290
2610	0.467379314690560	0.412142647582159	0.266656647249294	0.529069835915404		0.412142647582159
2620	0.466528410075157	0.411983068875347	0.266179267610746	0.528881061987421		0.411983068875347
2630	0.465681320891482	0.411820371529656	0.265705743528556	0.528691670664482		0.411820371529656
2640	0.464838038657489	0.411654612245991	0.265236035073074	0.528501678446493		0.411654612245991
2650	0.463998554692746	0.411485847057383	0.264770102815342	0.528311101605303		0.411485847057383
2660	0.463162860122743	0.411314131332149	0.264307907819785	0.528119956187077		0.411314131332149
2670	0.462330945883173	0.411139519777208	0.263849411637025	0.527928258014668		0.411139519777208
2680	0.461502802724214	0.410962066441520	0.263394576296808	0.527736022689982		0.410962066441520
2690	0.460678421214773	0.410781824719658	0.262943364301053	0.527543265596331		0.410781824719658
2700	0.459857791746717	0.410598847355503	0.262495738617012	0.527350001900785		0.410598847355503
2710	0.459040904539081	0.410413186446054	0.262051662670538	0.527156246556513		0.410413186446054
2720	0.458227749642249	0.410224893445347	0.261611100339471	0.526962014305115		0.410224893445347
2730	0.457418316942099	0.410034019168485	0.261174015947128	0.526767319678945		0.410034019168485
2740	0.456612596164132	0.409840613795755	0.260740374255891	0.526572177003422		0.409840613795755
2750	0.455810576877562	0.409644726876854	0.260310140460915	0.526376600399334		0.409644726876854
